timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,batt_1,batt_2,batt_3,note,ppg_1,ppg_2,ppg_3
1753770449.1265388,580.2198,812.3077,816.337,815.9341,nan,nan,,,,,,,
1753770449.1304355,0.0,806.26373,816.337,0.0,nan,nan,,,,,,,
1753770449.1343319,133.77289,804.65204,811.9048,110.40293,nan,nan,,,,,,,
1753770449.1382284,1268.8279,816.337,817.9487,1245.8608,nan,nan,,,,,,,
1753770449.1409464,,,,,,,,,,,353859940.0,301200960.0,1871208.8
1753770449.1421249,1650.0,819.5604,811.0989,1650.0,nan,nan,,,,,,,
1753770449.1460214,771.2088,803.44324,799.011,1031.5018,nan,nan,,,,,,,
1753770449.1499178,0.0,796.1905,805.05493,0.0,nan,nan,,,,,,,
1753770449.1538143,126.52015,804.65204,809.0842,40.29304,nan,nan,,,,,,,
1753770449.1565192,,,,,,,,,,,353929200.0,301189660.0,1851062.2
1753770449.1577110,1251.9048,826.4103,813.1135,1167.2894,nan,nan,,,,,,,
1753770449.1616075,1650.0,832.8571,811.0989,1650.0,nan,nan,,,,,,,
1753770449.1655040,1083.8828,811.0989,805.4579,1288.1685,nan,nan,,,,,,,
1753770449.1694005,0.0,796.1905,801.8315,133.77289,nan,nan,,,,,,,
1753770449.1720917,,,,,,,,,,,353859940.0,301094600.0,1867985.4
1753770449.1732969,66.886444,797.8022,807.8755,0.0,nan,nan,,,,,,,
1753770449.1771934,1232.5641,817.5458,821.978,1062.5275,nan,nan,,,,,,,
1753770449.1810899,1650.0,824.7985,821.1722,1650.0,nan,nan,,,,,,,
1753770449.1849866,1271.2454,809.0842,812.71063,1386.0806,nan,nan,,,,,,,
1753770449.1876643,,,,,,,,,,,353842200.0,301146940.0,1844615.4
1753770449.1888831,0.0,802.6374,809.4872,0.0,nan,nan,,,,,,,
1753770449.1927795,120.47619,802.6374,813.91943,257.47253,nan,nan,,,,,,,
1753770449.1966760,1079.8535,809.4872,801.02563,749.85345,nan,nan,,,,,,,
1753770449.2005725,1650.0,820.7692,806.6667,1650.0,nan,nan,,,,,,,
1753770449.2032371,,,,,,,,,,,353867170.0,301098620.0,1851062.2
1753770449.2044690,1431.2087,819.15753,810.293,1498.0952,nan,nan,,,,,,,
1753770449.2083654,278.4249,805.05493,803.0403,352.56412,nan,nan,,,,,,,
1753770449.2122622,0.0,792.1612,803.44324,0.0,nan,nan,,,,,,,
1753770449.2161586,935.2015,801.02563,810.293,518.5714,nan,nan,,,,,,,
1753770449.2188096,,,,,,,,,,,353871200.0,301197730.0,1923589.8
1753770449.2200551,1650.0,819.5604,818.7546,1635.4945,nan,nan,,,,,,,
1753770449.2239516,1487.619,815.9341,819.5604,1538.3883,nan,nan,,,,,,,
1753770449.2278481,367.87546,795.38464,809.4872,357.39926,nan,nan,,,,,,,
1753770449.2317445,0.0,792.1612,803.44324,0.0,nan,nan,,,,,,,
1753770449.2343822,,,,,,,,,,,353867170.0,301182430.0,1852674.0
1753770449.2356412,636.2271,808.2784,804.2491,299.7802,nan,nan,,,,,,,
1753770449.2395377,1650.0,825.6044,811.50183,1517.033,nan,nan,,,,,,,
1753770449.2434342,1521.4652,815.5311,812.3077,1592.7839,nan,nan,,,,,,,
1753770449.2473307,365.4579,798.20514,804.65204,359.4139,nan,nan,,,,,,,
1753770449.2499549,,,,,,,,,,,353900220.0,301274270.0,1851062.2
1753770449.2512271,0.0,794.57874,809.89014,0.0,nan,nan,,,,,,,
1753770449.2551236,382.38095,803.8461,810.293,192.1978,nan,nan,,,,,,,
1753770449.2590201,1565.7876,820.3663,812.3077,1385.6776,nan,nan,,,,,,,
1753770449.2629168,1583.1135,813.91943,812.71063,1650.0,nan,nan,,,,,,,
1753770449.2655275,,,,,,,,,,,353880860.0,301180800.0,1875238.1
1753770449.2668133,378.75458,791.3553,807.0696,473.04028,nan,nan,,,,,,,
1753770449.2707098,0.0,793.7729,805.4579,0.0,nan,nan,,,,,,,
1753770449.2746062,236.92308,805.05493,799.41394,135.78755,nan,nan,,,,,,,
1753770449.2785027,1431.2087,817.1429,802.23444,1283.7362,nan,nan,,,,,,,
1753770449.2811000,,,,,,,,,,,353852670.0,301181600.0,1853479.9
1753770449.2823992,1650.0,815.9341,810.293,1650.0,nan,nan,,,,,,,
1753770449.2862957,481.50183,805.4579,806.6667,647.9121,nan,nan,,,,,,,
1753770449.2901924,0.0,801.02563,804.65204,0.0,nan,nan,,,,,,,
1753770449.2940888,152.3077,810.696,814.3223,130.14651,nan,nan,,,,,,,
1753770449.2966726,,,,,,,,,,,353866370.0,301186430.0,1780146.5
1753770449.2979853,1650.0,819.15753,805.8608,1650.0,nan,nan,,,,,,,
1753770449.3018818,1307.1062,821.1722,817.5458,1258.3517,nan,nan,,,,,,,
1753770449.3057783,630.58606,807.8755,794.17584,881.2088,nan,nan,,,,,,,
1753770449.3096747,0.0,789.34064,801.4286,0.0,nan,nan,,,,,,,
1753770449.3122454,,,,,,,,,,,353867170.0,301192900.0,1860732.6
1753770449.3135712,131.75824,788.1319,810.696,96.7033,nan,nan,,,,,,,
1753770449.3174679,1256.337,813.91943,810.293,1226.9231,nan,nan,,,,,,,
1753770449.3213644,1650.0,819.9634,815.12823,1650.0,nan,nan,,,,,,,
1753770449.3252609,888.86444,800.6227,810.696,1156.8132,nan,nan,,,,,,,
1753770449.3278179,,,,,,,,,,,353888930.0,301267840.0,1852674.0
1753770449.3291574,0.0,792.96704,807.8755,51.17216,nan,nan,,,,,,,
1753770449.3330538,111.611725,795.78754,810.293,0.0,nan,nan,,,,,,,
1753770449.3369503,1248.6813,809.89014,813.5165,1112.0879,nan,nan,,,,,,,
1753770449.3408468,1650.0,821.1722,815.12823,1650.0,nan,nan,,,,,,,
1753770449.3433905,,,,,,,,,,,353863970.0,301195300.0,1780146.5
1753770449.3447435,1186.63,815.9341,803.0403,1360.6959,nan,nan,,,,,,,
1753770449.3486400,48.754578,807.8755,799.41394,199.85349,nan,nan,,,,,,,
1753770449.3525364,18.937729,805.05493,815.5311,0.0,nan,nan,,,,,,,
1753770449.3564329,1187.033,815.5311,819.9634,989.19415,nan,nan,,,,,,,
1753770449.3589633,,,,,,,,,,,354003360.0,301195300.0,1851062.2
1753770449.3603294,1650.0,816.7399,812.3077,1650.0,nan,nan,,,,,,,
1753770449.3642259,1386.8865,813.5165,815.5311,1473.9194,nan,nan,,,,,,,
1753770449.3681226,219.19414,802.6374,813.5165,352.56412,nan,nan,,,,,,,
1753770449.3720191,0.0,795.38464,803.8461,0.0,nan,nan,,,,,,,
1753770449.3745358,,,,,,,,,,,353879260.0,301210620.0,1859120.9
1753770449.3759155,1037.5458,811.0989,809.0842,692.6374,nan,nan,,,,,,,
1753770449.3798120,1650.0,820.3663,818.3516,1650.0,nan,nan,,,,,,,
1753770449.3837085,1432.4176,814.3223,821.978,1509.7803,nan,nan,,,,,,,
1753770449.3876050,298.97437,794.9817,816.337,360.6227,nan,nan,,,,,,,
1753770449.3901083,,,,,,,,,,,353961470.0,301206600.0,1880879.1
1753770449.3915014,0.0,781.28204,805.4579,0.0,nan,nan,,,,,,,
1753770449.3953981,795.38464,804.65204,805.4579,423.88278,nan,nan,,,,,,,
1753770449.3992946,1650.0,829.6337,802.6374,1592.381,nan,nan,,,,,,,
1753770449.4031911,1498.4982,826.8132,800.6227,1561.3553,nan,nan,,,,,,,
1753770449.4056811,,,,,,,,,,,353963070.0,301092960.0,1851062.2
1753770449.4070876,368.6813,814.3223,812.3077,360.2198,nan,nan,,,,,,,
1753770449.4109840,0.0,810.293,818.3516,0.0,nan,nan,,,,,,,
1753770449.4148805,479.8901,808.68134,810.293,243.77289,nan,nan,,,,,,,
1753770449.4187770,1620.989,819.9634,809.0842,1457.8022,nan,nan,,,,,,,
1753770449.4212537,,,,,,,,,,,353918750.0,301205800.0,1884908.4
1753770449.4226737,1544.0293,813.1135,814.3223,1638.3151,nan,nan,,,,,,,
1753770449.4265702,354.1758,799.81683,812.3077,408.97437,nan,nan,,,,,,,
1753770449.4304667,0.0,800.6227,809.4872,0.0,nan,nan,,,,,,,
1753770449.4343631,303.00366,797.3993,807.0696,161.57509,nan,nan,,,,,,,
1753770449.4368262,,,,,,,,,,,353934080.0,301203360.0,1852674.0
1753770449.4382596,1512.6007,811.50183,800.2198,1344.9817,nan,nan,,,,,,,
1753770449.4421561,1609.3041,821.978,793.7729,1650.0,nan,nan,,,,,,,
1753770449.4460526,387.61905,813.91943,803.44324,500.8425,nan,nan,,,,,,,
1753770449.4499493,0.0,800.2198,808.2784,0.0,nan,nan,,,,,,,
1753770449.4523988,,,,,,,,,,,353975170.0,301147780.0,1826886.5
1753770449.4538457,188.97437,796.99634,805.4579,133.77289,nan,nan,,,,,,,
1753770449.4577422,1370.3663,817.5458,811.9048,1264.7986,nan,nan,,,,,,,
1753770449.4616387,1650.0,821.5751,819.9634,1650.0,nan,nan,,,,,,,
1753770449.4655352,520.18317,807.0696,821.5751,745.0183,nan,nan,,,,,,,
1753770449.4679716,,,,,,,,,,,353967900.0,301258980.0,1874432.2
1753770449.4694316,0.0,794.57874,815.12823,0.0,nan,nan,,,,,,,
1753770449.4733281,138.60806,801.02563,809.4872,127.326004,nan,nan,,,,,,,
1753770449.4772248,1272.4542,821.5751,817.1429,1253.1135,nan,nan,,,,,,,
1753770449.4811213,1650.0,819.5604,825.6044,1650.0,nan,nan,,,,,,,
1753770449.4835441,,,,,,,,,,,353887330.0,301292830.0,1850256.4
1753770449.4850178,744.21246,811.0989,824.3956,1033.9194,nan,nan,,,,,,,
1753770449.4889143,131.75824,800.2198,814.7253,48.35165,nan,nan,,,,,,,
1753770449.4928107,0.0,800.2198,817.1429,0.0,nan,nan,,,,,,,
1753770449.4967072,1247.4725,824.3956,807.47253,1181.392,nan,nan,,,,,,,
1753770449.4991167,,,,,,,,,,,353940500.0,301243650.0,1863956.0
1753770449.5006037,1650.0,829.2308,803.0403,1650.0,nan,nan,,,,,,,
